code,title,Level
322212,Folding Paperboard Box Manufacturing,6
322219,Other Paperboard Container Manufacturing,6
322220,Paper Bag and Coated and Treated Paper Manufacturing,6
322230,Stationery Product Manufacturing,6
322291,Sanitary Paper Product Manufacturing,6
322299,All Other Converted Paper Product Manufacturing,6
323111,Commercial Printing (except Screen and Books),6
323113,Commercial Screen Printing,6
323117,Books Printing,6
323120,Support Activities for Printing,6
324110,Petroleum Refineries,6
324121,Asphalt Paving Mixture and Block Manufacturing,6
324122,Asphalt Shingle and Coating Materials Manufacturing,6
324191,Petroleum Lubricating Oil and Grease Manufacturing,6
324199,All Other Petroleum and Coal Products Manufacturing,6
325110,Petrochemical Manufacturing,6
325120,Industrial Gas Manufacturing,6
325130,Synthetic Dye and Pigment Manufacturing,6
325180,Other Basic Inorganic Chemical Manufacturing,6
325193,Ethyl Alcohol Manufacturing,6
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",6
325199,All Other Basic Organic Chemical Manufacturing,6
325211,Plastics Material and Resin Manufacturing,6
325212,Synthetic Rubber Manufacturing,6
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,6
325311,Nitrogenous Fertilizer Manufacturing,6
325312,Phosphatic Fertilizer Manufacturing,6
325314,Fertilizer (Mixing Only) Manufacturing,6
325315,Compost Manufacturing,6
325320,Pesticide and Other Agricultural Chemical Manufacturing,6
325411,Medicinal and Botanical Manufacturing,6
325412,Pharmaceutical Preparation Manufacturing,6
325413,In-Vitro Diagnostic Substance Manufacturing,6
325414,Biological Product (except Diagnostic) Manufacturing,6
325510,Paint and Coating Manufacturing,6
325520,Adhesive Manufacturing,6
325611,Soap and Other Detergent Manufacturing,6
325612,Polish and Other Sanitation Good Manufacturing,6
325613,Surface Active Agent Manufacturing,6
325620,Toilet Preparation Manufacturing,6
325910,Printing Ink Manufacturing,6
325920,Explosives Manufacturing,6
325991,Custom Compounding of Purchased Resins,6
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",6
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,6
326111,Plastics Bag and Pouch Manufacturing,6
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,6
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,6
326121,Unlaminated Plastics Profile Shape Manufacturing,6
326122,Plastics Pipe and Pipe Fitting Manufacturing,6
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",6
326140,Polystyrene Foam Product Manufacturing,6
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,6
326160,Plastics Bottle Manufacturing,6
326191,Plastics Plumbing Fixture Manufacturing,6
326199,All Other Plastics Product Manufacturing,6
326211,Tire Manufacturing (except Retreading),6
326212,Tire Retreading,6
326220,Rubber and Plastics Hoses and Belting Manufacturing,6
326291,Rubber Product Manufacturing for Mechanical Use,6
326299,All Other Rubber Product Manufacturing,6
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",6
327120,Clay Building Material and Refractories Manufacturing,6
327211,Flat Glass Manufacturing,6
327212,Other Pressed and Blown Glass and Glassware Manufacturing,6
327213,Glass Container Manufacturing,6
327215,Glass Product Manufacturing Made of Purchased Glass,6
327310,Cement Manufacturing,6
327320,Ready-Mix Concrete Manufacturing,6
327331,Concrete Block and Brick Manufacturing,6
327332,Concrete Pipe Manufacturing,6
327390,Other Concrete Product Manufacturing,6
327410,Lime Manufacturing,6
327420,Gypsum Product Manufacturing,6
327910,Abrasive Product Manufacturing,6
327991,Cut Stone and Stone Product Manufacturing,6
327992,Ground or Treated Mineral and Earth Manufacturing,6
327993,Mineral Wool Manufacturing,6
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,6
331110,Iron and Steel Mills and Ferroalloy Manufacturing,6
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,6
331221,Rolled Steel Shape Manufacturing,6
331222,Steel Wire Drawing,6
331313,Alumina Refining and Primary Aluminum Production,6
331314,Secondary Smelting and Alloying of Aluminum,6
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",6
331318,"Other Aluminum Rolling, Drawing, and Extruding",6
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,6
331420,"Copper Rolling, Drawing, Extruding, and Alloying",6
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",6
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",6
331511,Iron Foundries,6
331512,Steel Investment Foundries,6
331513,Steel Foundries (except Investment),6
331523,Nonferrous Metal Die-Casting Foundries,6
331524,Aluminum Foundries (except Die-Casting),6
331529,Other Nonferrous Metal Foundries (except Die-Casting),6
332111,Iron and Steel Forging,6
332112,Nonferrous Forging,6
332114,Custom Roll Forming,6
332117,Powder Metallurgy Part Manufacturing,6
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",6
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",6
332216,Saw Blade and Handtool Manufacturing,6
332311,Prefabricated Metal Building and Component Manufacturing,6
332312,Fabricated Structural Metal Manufacturing,6
332313,Plate Work Manufacturing,6
332321,Metal Window and Door Manufacturing,6
332322,Sheet Metal Work Manufacturing,6
332323,Ornamental and Architectural Metal Work Manufacturing,6
332410,Power Boiler and Heat Exchanger Manufacturing,6
332420,Metal Tank (Heavy Gauge) Manufacturing,6
